Iniciativa,Tipo,Estagio,Âmbito,Periodicidade,Estado,Município,latitude,longitude
Degusta Festival Gastronomico De Sao Lourenço,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,MG,Alagoa,-22.171,-44.6413
Temporada Gastronômica Pelotas  Sabores Do Sal Ao Açucar,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RS,Pelotas,-31.7649,-52.3371
Festival Maria Isabel,Evento / Festival;Roteiro Gastronômico;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,PI,Teresina,-5.09194,-42.8034
Festival Gastronômico De Eunápolis,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Anual,BA,Eunápolis,-16.3715,-39.5821
Festival Gastronômico De Prado,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Anual,BA,Prado,-17.3364,-39.2227
Festival Sabores De Teixeira,Evento / Festival;,Consolidada (geralmente com mais de 2 anos),Estadual,Anual,BA,Teixeira de Freitas,-17.5399,-39.74
Roteiro Gastronômico - Sabores Da Rota Das Emoções,Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,CE,Sobral,-3.6891300000000005,-40.3482
Atuação Com Os Pequenos Negócios Da Cadeia Produtiva Do Turismo E Da Gastronomia Do Df,Evento / Festival;Projeto de Qualificação;Projeto Promocional;Roteiro Gastronômico;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Estadual,Permanente,DF,Brasília,-15.7795,-47.9297
Projeto  Es - Desenvolvimento Setorial Nos Territórios: Fortalecimento Do Turismo No Espírito Santo,Outros - Paraestatal;,Consolidada (geralmente com mais de 2 anos),Estadual,Outra,ES,,-19.19,-40.34
Sebrae Orienta Gastronomia,Projeto de Qualificação;,Desenvolvimento (iniciativa com menos de 2 anos),Estadual,Permanente,MS,Campo Grande,-20.4486,-54.6295
Food Experience,Projeto de Qualificação;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Permanente,MT,Cuiabá,-15.600999999999999,-56.0974
"Projeto ""Gastronomia Digital - O Setor De Alimentação Fora Do Lar Conectado Com O Futuro""",Projeto de Qualificação;,Consolidada (geralmente com mais de 2 anos),Federal / Nacional,Outra,DF,,-15.83,-47.86
Festival Sabor Potiguar,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RN,Natal,-5.79357,-35.1986
Festival Gastronomico,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RR,Boa Vista,2.82384,-60.6753
Projeto Turismo Gastronomico De Negócios De Poa,Projeto de Qualificação;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RS,Porto Alegre,-30.0318,-51.2065
Confia No Centro,Evento / Festival;Projeto de Qualificação;Roteiro Gastronômico;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,RS,Porto Alegre,-30.0318,-51.2065
Caminhos Rurais De Porto Alegre,Projeto de Qualificação;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,RS,Porto Alegre,-30.0318,-51.2065
Núcleo De Gastronomia Litoral Norte,Projeto de Qualificação;Produto Turístico de Gastronomia;,Consolidada (geralmente com mais de 2 anos),Municipal / Local,Permanente,RS,Porto Alegre,-30.0318,-51.2065
Projeto Destinos Turísticos Inteligentes - Norte Catarinense,Projeto de Qualificação;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Outra,SC,Joinville,-26.3045,-48.8487
Festival Gastronômico De Juquiá - Comidas Típicas De Juquiá,Evento / Festival;,Desenvolvimento (iniciativa com menos de 2 anos),Municipal / Local,Anual,SP,Juquiá,-24.3101,-47.6426
Polos Gastronômicos,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - ;,Consolidada (geralmente com mais de 2 anos),Internacional,Permanente,SP,São Paulo,-23.5329,-46.6395
Polos Gastronômicos,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - ;,Consolidada (geralmente com mais de 2 anos),Internacional,Permanente,SP,Guarulhos,-23.4538,-46.5333
Polos Gastronômicos,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - ;,Consolidada (geralmente com mais de 2 anos),Internacional,Permanente,SP,Caieiras,-23.3607,-46.7397
Polos Gastronômicos,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - ;,Consolidada (geralmente com mais de 2 anos),Internacional,Permanente,SP,Mairiporã,-23.3171,-46.5897
Polos Gastronômicos,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - ;,Consolidada (geralmente com mais de 2 anos),Internacional,Permanente,SP,Santa Isabel,-23.3172,-46.2237
Polos Gastronômicos,Evento / Festival;Projeto de Qualificação;Projeto Social;Roteiro Gastronômico;Produto Turístico de Gastronomia;Outros - ;,Consolidada (geralmente com mais de 2 anos),Internacional,Permanente,SP,Mogi das Cruzes,-23.5208,-46.1854
